37,Rahel Crow,Bangalore,70898,2
97,Nicholle Boyland,Gangavati,9151,4
54,Sharai Ouldred,Kalaburagi,83961,4
46,Delly Shemilt,Bangalore,59009,5
23,Hi Wanley,Chikmagalur,81830,1
5,Salaidh Grzesiak,Davanagere,26106,5
16,Blondy Millgate,Mysore,90737,5
71,Merna Oliver-Paull,Hubli,91491,4
80,Morey Thomlinson,Chikmagalur,22071,5
70,Valerie Mahmood,Chitradurga,77359,5
75,Rich Fain,Bidar,97649,1
54,Lin Tillerton,Mandya,51514,4
68,Nanon Shoreman,Mysore,88160,4
13,Corrina Quogan,Mangalore,68087,4
82,Rab Newrick,Shimoga,82112,2
97,Erl Tolman,Bellary,50676,1
76,Fifine Deem,Shimoga,49530,1
30,Lorelle Kimbrough,Kolar,41553,3
94,Jaimie Larkin,Udupi,89584,2
9,Rockie Treherne,Bidar,97626,2
3,Jorrie Sweetenham,Mysore,81436,3
23,Duke Penner,Bellary,40030,3
43,Corliss Wrist,Chitradurga,57378,3
73,Lay Saltmarsh,Bangalore,57829,1
44,Lek Bracegirdle,Chitradurga,94027,4
97,Bennett Twigger,Bangalore,28497,5
50,Marrilee Tilt,Kalaburagi,46710,3
28,Joyann Henriksson,Shimoga,23912,4
1,Lani Macewan,Belgaum,27509,2
46,Zabrina Ianelli,Bhadravati,11900,3
7,Flynn Mephan,Tumkur,48947,5
43,Neall Kaemena,Chikmagalur,17767,3
54,Arluene Britner,Kalaburagi,76619,4
94,Benedicto Gluyas,Mangalore,42809,3
42,Derwin Cosby,Vijayapura,36576,3
50,Jennilee Paxeford,Vijayapura,14392,3
17,Aldridge Langlands,Mandya,70024,3
69,Glenda Marushak,Mandya,91041,3
87,Duke Ferrotti,Mysore,43962,3
19,Sianna Bienvenu,Shimoga,52069,1
68,Lishe Adelberg,Chikmagalur,12274,5
58,Shaine Dudenie,Mandya,16873,4
17,Pearl Ambage,Bhadravati,76363,1
73,Philly Goosey,Mysore,82585,3
46,Issi Walduck,Mandya,72046,4
93,Philis Anmore,Bhadravati,75471,5
9,Sarah Ricards,Davanagere,47365,1
83,Horatia Breens,Kalaburagi,58624,5
11,Doralynn Twydell,Chikmagalur,15272,2
26,Wood Van Haeften,Ranebennuru,91304,2
58,Prince Teather,Ranebennuru,86821,5
23,Emma Le Grand,Hubli,14231,4
58,Loy Fritzer,Mysore,57672,1
38,Carleen Kopps,Vijayapura,34308,4
49,Dorrie Jenton,Kalaburagi,57986,1
31,Hulda Narbett,Gangavati,95672,3
55,Massimiliano Howel,Bangalore,96607,5
14,Fayina Besnard,Bidar,21175,5
79,Valentina Mattis,Vijayapura,48860,1
39,Harriett Eglin,Chikmagalur,5405,1
95,Thaine Bruin,Hubli,25218,2
53,Dyan Shorland,Mysore,54483,2
63,Martguerita Ozintsev,Kalaburagi,21411,2
8,Andreana Franzetti,Kalaburagi,99929,3
11,Austin Shivell,Bellary,67120,5
56,Pernell Ranscombe,Ranebennuru,10360,4
51,Elizabet Pocknell,Mangalore,85711,5
63,Leslie Denford,Mangalore,40989,2
25,Kat Lark,Hospet,69623,2
38,Delmar Peaker,Bidar,51564,3
4,Hans Cowdrey,Chikmagalur,56457,2
10,Calida Foxton,Kolar,22926,1
10,Dorothy Zimmermeister,Chikmagalur,36882,5
82,Nicolai Zannutti,Gangavati,99148,4
7,Sonny Cain,Mandya,13679,4
74,Bobette Babalola,Hassan,29777,5
84,Kendal Ickovitz,Shimoga,78584,4
46,Ann-marie Kull,Bellary,90810,4
48,Kristen Harmson,Bidar,71101,2
2,Del Rounsefell,Bellary,66536,1
32,Serge Effaunt,Bangalore,63210,2
66,Tommi Marrison,Robertsonpet,81744,1
36,Traci Klimowicz,Gangavati,61191,1
61,Andee Sedgwick,Bellary,24890,1
41,Elvyn McRorie,Bhadravati,75272,2
18,Doroteya Berrisford,Bidar,30699,5
29,Astra Gibbe,Shimoga,17093,5
48,Ruperta Ginity,Bidar,77594,2
4,Debora McMenamin,Ranebennuru,86522,5
16,Rad Chesterton,Tumkur,16644,5
85,Flora Curnow,Davanagere,94795,1
9,Skipper Rubinivitz,Belgaum,22994,1
79,Earle Gosalvez,Gadag,41804,3
14,Ophelia Milkeham,Raichur,82616,2
62,Allyn Bloxsome,Kalaburagi,73678,5
2,Benny Skoughman,Mysore,73640,1
61,Whitman Coot,Belgaum,93883,1
30,Daile Peret,Bellary,51753,5
93,Emily Dymott,Hassan,78158,3
92,Clemens Beed,Hubli,17977,3
